"container","Container"
"The generator has been duplicated.","The generator has been duplicated."
"The generator has been deleted.","The generator has been deleted."
"Unable to find a generator to delete.","Unable to find a generator to delete."
"Please select.","Please select."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Import Template","Import Template"
"Import successfully done.","Import successfully done."
"File is valid! To start import process press ""Import"" button","File is valid! To start import process press ""Import"" button"
"Please fix errors and re-upload file","Please fix errors and reupload file"
"File was not uploaded","File was not uploaded"
"Data is invalid or file is not uploaded","Data is invalid or file is not uploaded"
"This jobqueue no longer exists.","This job queue no longer exists."
"The jobqueue has been saved.","The job queue has been saved."
"The jobqueue has been deleted.","The job queue has been deleted."
"Unable to find a jobqueue to delete.","Unable to find a job queue to delete."
"An error occurred while change record(s).","An error occurred while change record(s)."
"No data found","No data found"
"Project","Project"
"This project no longer exists.","This project no longer exists."
"The project has been saved.","The project has been saved."
"The project has been duplicated.","The project has been duplicated."
"The project has been deleted.","The project has been deleted."
"Unable to find a project to delete.","Unable to find a project to delete."
"Style","Style"
"This style no longer exists.","This style no longer exists."
"This Style no longer exists.","This style no longer exists."
"The Style has been saved.","The style has been saved."
"Copy of ","Copy of "
"The Style has been duplicated.","The style has been duplicated."
"The Style has been deleted.","The style has been deleted."
"Unable to find a Style to delete.","Unable to find a style to delete."
"This template no longer exists.","This template no longer exists."
"This Template no longer exists.","This template no longer exists."
"The Template has been saved.","The template has been saved."
"The Template has been duplicated.","The template has been duplicated."
"The Template has been deleted.","The template has been deleted."
"Unable to find a Template to delete.","Unable to find a template to delete."
"An error occurred while exporting record(s).","An error occurred while exporting record(s)."
"Validation Results","Validation Results"
"There was an error attempting to upload the file.","There was an error attempting to upload the file."
"The upload has been canceled by the user or the browser dropped the connection.","The upload has been canceled by the user or the browser dropped the connection."
"Add Folder","Add Folder"
"Rename","Rename"
"File Manager","File Manager"
"Upload Files","Upload Files"
"Remove","Remove"
"Undo","Undo"
"Redo","Redo"
"New Box","New Box"
"Arrange Box","Arrange Box"
"Current Box","Current Box"
"X-Pos","X-Pos"
"Y-Pos","Y-Pos"
"Width","Width"
"Height","Height"
"Rotate","Rotate"
"SkewX","SkewX"
"SkewY","SkewY"
"Lock Box","Lock Box"
"Lock Image","Lock Image"
"Image Type","Image Type"
"Image","Image"
"Scale (%)","Scale (%)"
"Offset X","Offset X"
"Offset Y","Offset Y"
"Content","Content"
"Logo","Logo"
"Format","Format"
"Static Block","Static Block"
"Copy Guide","Copy Guide"
"Remove Guide","Remove Guide"
"Position","Position"
"Lock","Lock"
"Guide","Guide"
"Project Option","Project Option"
"Preview Option","Preview Option"
"Store View","Store View"
"Edit Style","Edit Style"
"Zoom","Zoom"
"Style class ","Style class "
"Font Family","Font Family"
"Font Style","Font Style"
"Size","Size"
"Leading","Leading"
"Background Colour","Background Colour"
"Colour","Colour"
"Vertical Align","Vertical Align"
"Alignment","Alignment"
"Document Propertys","Document Propertys"
"Start Page Numbering at","Start Page Numbering at"
"Page Name","Page Name"
"Remove Page","Remove Page"
"New Page","New Page"
"New Spread","New Spread"
"Copy Spread","Copy Spread"
"Product SKU","Product SKU"
"Start Page","Start Page"
"Dimension","Dimension"
